,FIPS,race,location
0,171699701002199,P1_015N,POINT (-90.6567542068302 40.235676338137715)
1,171699701002199,P1_003N,POINT (-90.65294611269302 40.239865502209106)
2,171699701002199,P1_015N,POINT (-90.67085699587797 40.23626718115849)
3,171699701002199,P1_003N,POINT (-90.67071095231125 40.235953356975955)
4,171699701002199,P1_015N,POINT (-90.66537989862424 40.24183568426552)
5,171699701002199,P1_015N,POINT (-90.65809113774513 40.23802455773203)
6,171699701002199,P1_003N,POINT (-90.66229028947134 40.237051355908186)
7,171699701002199,P1_003N,POINT (-90.66549640512936 40.23655539921892)
8,171699701002199,P1_015N,POINT (-90.66960093963426 40.23863196669003)
9,171699701002199,P1_003N,POINT (-90.66627314747025 40.24171380621031)
10,171699701002199,P1_003N,POINT (-90.65892750697432 40.24030792699295)
11,171699701002199,P1_003N,POINT (-90.6510420021887 40.23917846272027)
12,171699701002199,P1_003N,POINT (-90.67115120345369 40.2411681772583)
13,171699701002199,P1_003N,POINT (-90.65830006748874 40.235097889900594)
14,171699701002199,P1_015N,POINT (-90.65797149815222 40.24002847946658)
15,171699701002199,P1_003N,POINT (-90.65854141915058 40.23571815878279)
16,171699701002199,P1_003N,POINT (-90.6563401296767 40.23780720607038)
17,171699701002199,P1_003N,POINT (-90.67642853151047 40.236179157049364)
18,171699701002199,P1_003N,POINT (-90.66061643008257 40.2369494019846)
19,171699701002199,P1_003N,POINT (-90.66789887112337 40.23903326534599)
20,171699701002199,P1_003N,POINT (-90.65228502979016 40.24052474487301)
21,171699701002199,P1_003N,POINT (-90.6692518751599 40.2375360945782)
22,171699701002199,P1_003N,POINT (-90.65431177220347 40.23482388242971)
23,171699701002199,P1_003N,POINT (-90.65524888408073 40.2389605164289)
24,171699701002199,P1_003N,POINT (-90.65222947737685 40.238067957392424)
25,171699701002199,P1_003N,POINT (-90.6580689332501 40.235629846080606)
26,171699701002199,P1_003N,POINT (-90.6666945038764 40.236864834968266)
27,171699701002199,P1_003N,POINT (-90.66653668514617 40.24068535572114)
28,171699701002199,P1_003N,POINT (-90.6511770297234 40.23929530582743)
29,171699701002199,P1_003N,POINT (-90.67173116927555 40.241098345407714)
30,171699701002199,P1_003N,POINT (-90.65676303326104 40.240266049950975)
31,171699701002199,P1_015N,POINT (-90.65101401912749 40.2371794314057)
32,171699701002199,P1_003N,POINT (-90.65426867025188 40.23533515584127)
33,171699701002199,P1_015N,POINT (-90.67379706873632 40.24225564226081)
34,171699701002199,P1_003N,POINT (-90.65639245389148 40.23511701778067)
35,171699701002199,P1_003N,POINT (-90.6737141991599 40.239563528232836)
36,171699701002199,P1_003N,POINT (-90.6752661785195 40.23965009201719)
37,171699701002199,P1_003N,POINT (-90.67474860729652 40.23764927344256)
38,171699701002199,P1_003N,POINT (-90.67628067393947 40.23541423336993)
39,171699701002199,P1_003N,POINT (-90.65982805772495 40.24013105549998)
40,171699701002199,P1_003N,POINT (-90.66698284294182 40.24218320552291)
41,171699701002199,P1_003N,POINT (-90.67443416880897 40.238064518232015)
42,171699701002199,P1_003N,POINT (-90.66307385004174 40.23693827278261)
43,171699701002199,P1_003N,POINT (-90.67097180812884 40.23943229923482)
44,171699701002199,P1_003N,POINT (-90.65292170660561 40.23598181379697)
45,171699701002199,P1_003N,POINT (-90.67612176568373 40.237763495876834)
46,171699701002199,P1_003N,POINT (-90.67243418842537 40.23990873189937)
47,171699701002199,P1_003N,POINT (-90.67801061255686 40.23731559877707)
